Django for Everybody,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/79/40d8a60bae487c8b4c862f52e0f13d/dj4e_thumbnail_specialization.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,SPECIALIZATION,University of Michigan,4.7
Building Web Applications in Django,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/66/072211bd484a9d817f299e4ec52474/dj4e_thumbnail_v2_1.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,COURSE,University of Michigan,4.7
Google IT Automation with Python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/94e64625eb4b41b05e66ed0e5bab30/Xavier-MI-Thompson-119.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Beginner,PROFESSIONAL CERTIFICATE,Google,4.7
Create a basic contacts list web app using Django,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/97/e9278cfd044e92877bc55ed62744ea/img-411c4ea1-6628-4389-b32c-c3f40423bfda-880b669d-6e08-4b21-b3ae-ce67bd60587d-zAujlQZT-20200911105549.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Beginner,GUIDED PROJECT,Coursera Project Network,
Deploy a BERT question answering bot on Django,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/de/68bfa15ddb473e9118da35db9f8fcc/logo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,GUIDED PROJECT,Coursera Project Network,
Build web apps with Django models, views, forms & templates,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e0/22dd4d00094147a793790670f4bf75/logo_v1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,GUIDED PROJECT,Coursera Project Network,
Web Application Technologies and Django,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b2/c0ff8a544f4f778422f84cfa32eba9/dj4e_thumbnail_v1_1.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,COURSE,University of Michigan,4.7
Python for Everybody,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/python.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Beginner,SPECIALIZATION,University of Michigan,4.8
Программирование на Python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ec/7b30f058ed11e8be51b7c2c7cc7e22/3-_1_.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,SPECIALIZATION,Mail.Ru Group,4.5
Build CRUD REST API in Django,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/15/2f947b8e7a4f6d90332b4ebb7f99a0/Screenshot-2020-09-23-at-5.54.36-PM.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Intermediate,GUIDED PROJECT,Coursera Project Network,3.3
